,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,NAME,B01002_001E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B03002_012E,B03002_002E,B03002_003E,B03002_004E,B03002_006E,state,county,tract,block group
1,"Block Group 2, Census Tract 101, Cook County, Illinois",31.3,939,262,41,131,145,37,0,66,27,0,23,112,8,122,2048,707,1292,13,17,031,010100,2
2,"Block Group 3, Census Tract 101, Cook County, Illinois",36.3,1025,117,37,44,46,32,91,46,26,0,34,267,85,190,1490,800,587,20,17,031,010100,3
3,"Block Group 1, Census Tract 101, Cook County, Illinois",47.5,284,62,69,0,0,29,0,0,0,0,0,0,24,98,496,219,180,0,17,031,010100,1
4,"Block Group 3, Census Tract 102.01, Cook County, Illinois",40.7,412,32,0,11,0,38,0,0,0,20,66,89,48,310,628,418,156,0,17,031,010201,3
5,"Block Group 1, Census Tract 102.01, Cook County, Illinois",38.9,659,71,48,44,64,69,47,13,49,29,39,34,72,193,1246,462,703,54,17,031,010201,1
6,"Block Group 2, Census Tract 102.01, Cook County, Illinois",32.6,1599,302,70,111,113,72,101,90,109,45,139,116,139,1124,3696,1337,1916,67,17,031,010201,2
7,"Block Group 2, Census Tract 102.02, Cook County, Illinois",31.3,516,41,10,48,35,47,19,62,40,45,25,22,47,312,907,432,446,18,17,031,010202,2
8,"Block Group 1, Census Tract 102.02, Cook County, Illinois",56.3,460,79,32,61,45,39,17,19,16,13,35,17,50,405,863,386,280,167,17,031,010202,1
9,"Block Group 1, Census Tract 103, Cook County, Illinois",50.3,520,43,40,32,63,0,14,71,29,0,113,14,85,196,902,697,150,48,17,031,010300,1
10,"Block Group 2, Census Tract 103, Cook County, Illinois",39.7,934,185,31,0,43,48,141,120,42,11,0,83,111,349,1836,835,903,0,17,031,010300,2
11,"Block Group 4, Census Tract 103, Cook County, Illinois",36.1,801,30,72,28,13,30,135,63,0,0,59,59,114,596,1261,638,338,285,17,031,010300,4
12,"Block Group 3, Census Tract 103, Cook County, Illinois",53.6,727,108,47,82,63,29,113,69,13,0,47,51,79,63,1210,760,383,26,17,031,010300,3
13,"Block Group 1, Census Tract 104, Cook County, Illinois",29.9,892,86,13,77,90,41,63,78,50,89,10,15,153,123,1686,1127,457,40,17,031,010400,1
14,"Block Group 2, Census Tract 104, Cook County, Illinois",38.2,430,47,14,14,12,0,40,80,0,28,68,58,27,73,899,480,274,130,17,031,010400,2
15,"Block Group 3, Census Tract 104, Cook County, Illinois",20.1,548,111,38,70,44,0,0,23,16,14,69,13,0,194,2436,1869,394,125,17,031,010400,3
16,"Block Group 1, Census Tract 105.01, Cook County, Illinois",39.4,553,79,43,53,78,0,0,29,11,26,29,94,63,214,819,591,177,32,17,031,010501,1
17,"Block Group 2, Census Tract 105.01, Cook County, Illinois",31.4,1030,84,82,43,97,67,74,71,64,79,156,98,84,85,1951,681,1042,146,17,031,010501,2
18,"Block Group 3, Census Tract 105.01, Cook County, Illinois",47.8,765,166,102,137,97,19,23,32,14,0,55,0,30,97,915,703,116,33,17,031,010501,3
19,"Block Group 1, Census Tract 105.02, Cook County, Illinois",31.5,529,50,68,51,41,36,67,0,15,29,40,19,42,54,890,558,228,67,17,031,010502,1
20,"Block Group 2, Census Tract 105.02, Cook County, Illinois",31.7,976,82,97,97,71,49,87,53,113,59,81,50,36,115,1572,958,419,158,17,031,010502,2
21,"Block Group 1, Census Tract 105.03, Cook County, Illinois",45.1,731,253,89,75,54,8,8,22,12,7,30,17,22,170,1218,786,109,248,17,031,010503,1
22,"Block Group 2, Census Tract 105.03, Cook County, Illinois",25.9,318,98,12,0,7,7,25,18,0,20,45,29,42,111,548,452,31,34,17,031,010503,2
