,type,details,baseline,threshold_pct,precision,recall,auc,train_set_num,train_start,test_start
0,Dtree,"criteria: entropy, depth: 10, min_leaf: 100, seed: 12345",0.7430825242718446,1,0.9484848484848485,0.012779683161848767,0.5053860626484729,1,2012-01-01,2012-07-01
1,Dtree,"criteria: entropy, depth: 10, min_leaf: 100, seed: 12345",0.7430825242718446,2,0.849772382397572,0.02286460885187,0.5055867682898935,1,2012-01-01,2012-07-01
2,Dtree,"criteria: entropy, depth: 10, min_leaf: 100, seed: 12345",0.7430825242718446,5,0.7785194174757282,0.052384452065980726,0.5046405018950593,1,2012-01-01,2012-07-01
3,Dtree,"criteria: entropy, depth: 10, min_leaf: 100, seed: 12345",0.7430825242718446,10,0.7551577669902912,0.10162502041482933,0.5031625338257425,1,2012-01-01,2012-07-01
4,Dtree,"criteria: entropy, depth: 10, min_leaf: 100, seed: 12345",0.7430825242718446,20,0.7492415048543689,0.20165768414176058,0.5032261023448529,1,2012-01-01,2012-07-01
5,Dtree,"criteria: entropy, depth: 10, min_leaf: 100, seed: 12345",0.7430825242718446,30,0.745752427184466,0.301077902988731,0.5020977611306432,1,2012-01-01,2012-07-01
6,Dtree,"criteria: entropy, depth: 10, min_leaf: 100, seed: 12345",0.7430825242718446,50,0.7416868932038835,0.49906091785072676,0.498172405075576,1,2012-01-01,2012-07-01
7,Dtree,"criteria: entropy, depth: 10, min_leaf: 300, seed: 12345",0.7430825242718446,1,0.9,0.01212640862322391,0.5041146922662648,1,2012-01-01,2012-07-01
8,Dtree,"criteria: entropy, depth: 10, min_leaf: 300, seed: 12345",0.7430825242718446,2,0.8103186646433991,0.021803037726604607,0.5035207914188053,1,2012-01-01,2012-07-01
9,Dtree,"criteria: entropy, depth: 10, min_leaf: 300, seed: 12345",0.7430825242718446,5,0.7597087378640777,0.05111873264739507,0.5021772217795312,1,2012-01-01,2012-07-01
10,Dtree,"criteria: entropy, depth: 10, min_leaf: 300, seed: 12345",0.7430825242718446,10,0.7487864077669902,0.10076759758288421,0.5014938601990944,1,2012-01-01,2012-07-01
11,Dtree,"criteria: entropy, depth: 10, min_leaf: 300, seed: 12345",0.7430825242718446,20,0.7459041262135923,0.2007594316511514,0.5014779680693168,1,2012-01-01,2012-07-01
12,Dtree,"criteria: entropy, depth: 10, min_leaf: 300, seed: 12345",0.7430825242718446,30,0.7444377022653722,0.3005471174260983,0.5010647726950992,1,2012-01-01,2012-07-01
