type,details,baseline,threshold_pct,precision,recall,auc,train_set_num,train_start,test_start
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,1,0.372727273,0.014525272,0.503036766,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,2,0.323216995,0.025153519,0.503471746,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,5,0.287014563,0.055857345,0.503941248,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,10,0.27336165,0.106400567,0.504306767,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,20,0.263956311,0.205479452,0.503686974,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,30,0.261630259,0.30550307,0.503702866,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,50,0.26098301,0.50791214,0.505323863,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,1,0.387878788,0.01511573,0.503434069,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,2,0.330804249,0.025743977,0.503869049,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,5,0.293082524,0.057038262,0.504735855,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,10,0.275788835,0.1073453,0.504942452,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,20,0.265018204,0.206306094,0.504243199,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,30,0.262237055,0.30621162,0.50417963,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,50,0.261407767,0.508738781,0.505880088,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,1,0.451515152,0.017595654,0.505102743,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,2,0.362670713,0.028223902,0.505537723,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,5,0.30157767,0.058691545,0.505848304,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,10,0.27973301,0.108880491,0.505975441,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,20,0.266686893,0.207605102,0.505117266,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,30,0.263652913,0.307864903,0.505292079,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 10, 'criterion': 'entropy'}",0.256917476,50,0.261771845,0.509447331,0.506356852,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,1,0.266666667,0.010392064,0.500255643,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,2,0.270106222,0.021020312,0.500690623,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,5,0.271237864,0.052786963,0.501875271,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,10,0.265169903,0.103212093,0.50216133,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,20,0.259253641,0.201818611,0.501223694,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,30,0.259000809,0.302432688,0.501636889,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,50,0.260679612,0.507321682,0.50492656,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,1,0.287878788,0.011218706,0.500811868,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,2,0.279210926,0.021728862,0.501167387,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,5,0.276092233,0.053731696,0.502510957,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,10,0.26881068,0.104629192,0.503114857,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,20,0.261377427,0.203471894,0.502336143,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,30,0.260012136,0.303613604,0.502431496,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,50,0.261104369,0.508148323,0.505482785,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,1,0.378787879,0.014761455,0.503195687,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,2,0.323216995,0.025153519,0.503471746,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,5,0.291262136,0.056683987,0.504497473,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,10,0.276092233,0.107463392,0.505021913,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 20, 'criterion': 'entropy'}",0.256917476,20,0.263804612,0.20536136,0.503607513,1,1/1/12,7/1/12
